CommonName,Species,NumDetects,SumAbun,SumMax,PS.g,BD.g,ND.g,TB.c,TN.c,PT.c,CCS.b,CCS.n,CCS.max,IUCN.Red.List.2018
Blue-gray Tanager,Thraupis episcopus,44,168,137,1,1,1,2,1,1,5,4,5,
Roadside Hawk,Rupornis magnirostris,44,56,48,2,1,1,2,2,1,6,6,6,LC
Shiny Cowbird,Molothrus bonariensis,38,66,62,2,1,1,1,1,3,7,7,7,LC
Pale-breasted Spinetail,Synallaxis albescens,37,52,43,1,1,1,2,2,2,6,6,6,LC
Great Egret,Ardea alba,35,47,41,2,1,1,2,2,1,6,6,6,LC
Rusty-margined Flycatcher,Myiozetetes cayanensis,34,80,60,1,1,1,2,2,2,6,6,6,LC
Jet Antbird,Cercomacra nigricans,27,44,34,3,3,3,4,4,5,15,15,15,LC
Crested Bobwhite,Colinus cristatus,25,60,53,2,2,2,2,2,2,8,8,8,LC
Snowy Egret,Egretta thula,25,32,29,3,1,1,2,2,1,7,7,7,LC
Spectacled Parrotlet,Forpus conspicillatus,24,93,74,4,3,3,4,4,4,15,15,15,LC
Black-bellied Whistling-Duck,Dendrocygna autumnalis,22,59,58,3,1,1,3,3,1,8,8,8,LC
Pale-vented Pigeon,Patagioenas cayennensis,21,51,40,2,1,1,3,3,3,9,9,9,LC
Fork-tailed Flycatcher,Tyrannus savana,18,60,42,2,1,1,2,2,2,7,7,7,LC
Limpkin,Aramus guarauna,18,23,20,3,1,1,3,3,3,10,10,10,LC
Yellow-bellied Elaenia,Elaenia flavogaster,18,33,29,2,1,1,2,2,2,7,7,7,LC
Black-billed Thrush,Turdus ignobilis,17,30,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yellow-hooded Blackbird,Chrysomus icterocephalus,17,182,125,3,2,2,1,1,1,7,7,7,LC
White-faced Whistling-duck,Dendrocygna viduata,16,46,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oriole Blackbird,Gymnomystax mexicanus,15,45,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
